,neighbourhood,lat,lon,average_house_value
0,Agincourt North,43.80544058,-79.26671217,329811.5
1,Agincourt South-Malvern West,43.78865755,-79.2656118,334189.0
2,Alderwood,43.6049369,-79.54161093,427922.5
3,Annex,43.67158544,-79.40400062,746977.0
4,Banbury-Don Mills,43.737657,-79.34971798,612039.0
5,Bathurst Manor,43.76481331,-79.45605516,501576.75
6,Bay Street Corridor,43.65751135,-79.38572125,423653.5
7,Bayview Village,43.77636052,-79.37711686,539258.75
8,Bayview Woods-Steeles,43.79680187,-79.38211795,565413.5
9,Bedford Park-Nortown,43.73148623,-79.42022735,930415.25
10,Beechborough-Greenbrook,43.69321649,-79.47947251,370927.75
11,Bendale,43.76036631,-79.25740037,301123.25
12,Birchcliffe-Cliffside,43.69468198,-79.26509259,437315.0
13,Black Creek,43.76489025,-79.52197932,260841.75
14,Blake-Jones,43.67617288,-79.33739417,511437.0
15,Briar Hill-Belgravia,43.69902438,-79.45285129999999,365524.5
16,Bridle Path-Sunnybrook-York Mills,43.73101314,-79.37890418,1526485.75
17,Broadview North,43.68882512,-79.35562951,443373.25
18,Brookhaven-Amesbury,43.70132631,-79.48558926,350943.0
19,Cabbagetown-South St.James Town,43.66764773,-79.36610666,494110.5
20,Caledonia-Fairbank,43.68856865,-79.45521208,361714.25
21,Casa Loma,43.6818521,-79.40800665,981064.25
22,Centennial Scarborough,43.7823765,-79.15084327,409862.75
23,Church-Yonge Corridor,43.65964886,-79.37901717,406117.5
24,Clairlea-Birchmount,43.71359238,-79.28138178,354555.25
25,Clanton Park,43.74197843,-79.44630258,551561.25
26,Cliffcrest,43.72112117,-79.23552957,417422.0
27,Corso Italia-Davenport,43.67766091,-79.44746933,419930.5
28,Danforth,43.68402547,-79.32981941,466943.0
29,Danforth-East York,43.68946809,-79.33140338,421679.25
30,Don Valley Village,43.78329369,-79.35364413,398010.25
31,Dorset Park,43.75927437,-79.27890794,262000.25
32,Dovercourt-Wallace Emerson-Juncti,43.66567693,-79.4385407,434699.5
33,Downsview-Roding-CFB,43.73329235,-79.49049735,381415.5
34,Dufferin Grove,43.65542833,-79.43734104,457588.75
35,East End-Danforth,43.68417388,-79.29935867,478054.25
36,Edenbridge-Humber Valley,43.67088591,-79.52245776,796162.5
37,Eglinton East,43.7409223,-79.24559804,268966.5
38,Elms-Old Rexdale,43.72151887,-79.54898272,268341.25
39,Englemount-Lawrence,43.72034467,-79.43740855,568936.75
40,Eringate-Centennial-West Deane,43.65801676,-79.58044524,397781.75
41,Etobicoke West Mall,43.64506262,-79.56893877,309412.0
42,Flemingdon Park,43.71592975,-79.33264597,207799.0
43,Forest Hill North,43.70421756,-79.42814316,851680.5
44,Forest Hill South,43.69452576,-79.41431786,1195992.5
45,Glenfield-Jane Heights,43.74563575,-79.51346532,327597.75
46,Greenwood-Coxwell,43.67261231,-79.32431802,387055.5
47,Guildwood,43.74882934,-79.19505535,369373.5
48,Henry Farm,43.77114414,-79.34124067,369958.0
49,High Park North,43.65756491,-79.46630217,532497.0
50,High Park-Swansea,43.64506458,-79.46787222,582977.75
51,Highland Creek,43.79077477,-79.17747247,428838.5
52,Hillcrest Village,43.80298783,-79.354804,395023.0
53,Humber Heights-Westmount,43.6922328,-79.5224162,449150.5
54,Humber Summit,43.75891975,-79.55617474,352082.5
55,Humbermede,43.74342952,-79.54236712,319783.75
56,Humewood-Cedarvale,43.69136981,-79.42768335,697085.5
57,Ionview,43.73536441,-79.27247049,287685.75
58,Islington-City Centre West,43.63346335,-79.54331654,451685.25
59,Junction Area,43.66788977,-79.47143987,433269.25
60,Keelesdale-Eglinton West,43.68572747,-79.47143711,322774.75
61,Kennedy Park,43.72555572,-79.26038221,287233.5
62,Kensington-Chinatown,43.65355413,-79.39723988,440485.75
63,Kingsview Village-The Westway,43.69899257,-79.54786331,338344.75
64,Kingsway South,43.65352043,-79.5105768,843234.25
65,L'Amoreaux,43.79571603,-79.31408424,650307.75
66,Lambton Baby Point,43.65742013,-79.49604526,336617.75
67,Lansing-Westgate,43.75427115,-79.42474772,613216.5
68,Lawrence Park North,43.73006017,-79.40397836,759392.5
69,Lawrence Park South,43.7172117,-79.40603941,1094027.75
70,Leaside-Bennington,43.70379663,-79.36607234,806471.75
71,Little Portugal,43.64753593,-79.43032271,540192.5
72,Long Branch,43.59236169,-79.53334545,385830.25
73,Malvern,43.80365820000001,-79.22251662,256880.25
74,Maple Leaf,43.71557394,-79.48075802,453229.0
75,Markland Wood,43.63354175,-79.57343155,443974.75
76,Milliken,43.82069079,-79.27500892,344988.25
77,Mimico,43.61592386,-79.50013664,393490.5
78,Morningside,43.78239861,-79.20704119,285013.5
79,Moss Park,43.65651762,-79.36729703,409456.0
80,Mount Dennis,43.68814409,-79.49998906,262308.75
81,Mount Olive-Silverstone-Jamestown,43.7468678,-79.58725926,253182.25
82,Mount Pleasant East,43.70485217,-79.38492395,677370.25
83,Mount Pleasant West,43.70443517,-79.39335955,468181.75
84,New Toronto,43.6005886,-79.51035809,407812.0
85,Newtonbrook East,43.79153579,-79.40593745,559573.25
86,Newtonbrook West,43.78582994,-79.43142151,460568.5
87,Niagara,43.63668088,-79.4124204,369993.0
88,North Riverdale,43.67199515,-79.35126041,703063.25
89,North St.James Town,43.66962341,-79.37524658,411455.75
90,O'Connor-Parkview,43.70680049,-79.31222777,298315.75
91,Oakridge,43.69740813,-79.27970834,422257.5
92,Oakwood Village,43.68856556,-79.43978548,441202.75
93,Old East York,43.69678127,-79.33548836,443413.5
94,Palmerston-Little Italy,43.6591571,-79.41840873,622191.75
95,Parkwoods-Donalda,43.75503347,-79.33017952,454652.5
96,Pelmo Park-Humberlea,43.7175146,-79.5282822,405431.25
97,Playter Estates-Danforth,43.67970047,-79.35488729,648859.25
98,Pleasant View,43.78698176,-79.33494843,373375.25
99,Princess-Rosethorn,43.6660506,-79.54455929,765746.5
100,Regent Park,43.65999214,-79.36050881,392578.25
101,Rexdale-Kipling,43.72372548,-79.56622841,360999.25
102,Rockcliffe-Smythe,43.67479045,-79.49442045,345660.25
103,Roncesvalles,43.64612299,-79.44299245,508937.25
104,Rosedale-Moore Park,43.68282043,-79.3796694,1093640.0
105,Rouge,43.82120126,-79.18634345,376286.75
106,Runnymede-Bloor West Village,43.65926882,-79.48570818,552082.0
107,Rustic,43.71160912,-79.49809147,431090.5
108,Scarborough Village,43.73865186,-79.21681262,329835.75
109,South Parkdale,43.63669952,-79.43933783,447478.5
110,South Riverdale,43.64929206,-79.33565132,455020.5
111,St.Andrew-Windfields,43.75624583,-79.37903709,999107.0
112,Steeles,43.81295883,-79.32120701,376014.5
113,Stonegate-Queensway,43.63551813,-79.50112821,550432.25
114,Tam O'Shanter-Sullivan,43.78012985,-79.30291871,353926.5
115,Taylor-Massey,43.69499819,-79.29590112,239414.0
116,The Beaches,43.67104999,-79.29960129999999,666306.0
117,Thistletown-Beaumond Heights,43.73798792,-79.56349102,375864.0
118,Thorncliffe Park,43.70774921,-79.34998361,255264.75
119,Trinity-Bellwoods,43.6501763,-79.41534216,534465.75
120,University,43.6625062,-79.40117975,618316.75
121,Victoria Village,43.72848902,-79.31487383,352133.0
122,Waterfront Communities-The Island,43.63388036,-79.37720231,376863.0
123,West Hill,43.76749026,-79.17667603,284647.5
124,West Humber-Clairville,43.7161804,-79.59635645,343254.25
125,Westminster-Branson,43.77881322,-79.45241823,349320.25
126,Weston,43.70271605,-79.51572255,308007.75
127,Weston-Pellam Park,43.67396204,-79.46024391,351802.0
128,Wexford/Maryvale,43.74857214,-79.29863657,348319.25
129,Willowdale East,43.77060226,-79.40148379,469045.5
130,Willowdale West,43.77121049,-79.4275578,466134.75
131,Willowridge-Martingrove-Richview,43.68364496,-79.55422105,464278.0
132,Woburn,43.76674024,-79.22858577,298505.75
133,Woodbine Corridor,43.67677292,-79.31540738,445382.75
134,Woodbine-Lumsden,43.69410674,-79.31116353,369918.5
135,Wychwood,43.67691927,-79.42551495,565976.5
136,Yonge-Eglinton,43.70468937,-79.40359017,809745.75
137,Yonge-St.Clair,43.68785887,-79.39787077,813220.25
138,York University Heights,43.76573649,-79.48888293,305899.5
139,Yorkdale-Glen Park,43.71467153,-79.45710807,430861.25
